Idade,Genero,Cor/Raca,Trabalho domestico,PCD,Estado onde mora,Região onde mora,Roubos de veículo,Roubos de carro,Roubos de moto,Roubos de bicicleta,Roubos fora do domicilio,Nivel de ensino,Area de formação,Situação atual de trabalho,Cargo atual,Nivel,Faixa salarial,Tempo de experiencia,Forma de trabalho atual,Forma de trabalho ideal
33,Feminino,Branca,16.5,Não,Bahia (BA),Nordeste,81.0,23.0,57.0,17.0,487.0,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Analista de Negócios/Business Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
36,Masculino,Branca,16.5,Não,Santa Catarina (SC),Sul,12.0,8.0,4.0,2.0,74.0,Mestrado,Outras Engenharias,Empregado (CLT),Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Pós-graduação,Outras Engenharias,Empregado (CLT),Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
38,Masculino,Branca,16.5,Não,Paraná (PR),Sul,12.0,8.0,4.0,2.0,74.0,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
23,Masculino,Branca,16.5,Não,Rio Grande do Sul (RS),Sul,12.0,8.0,4.0,2.0,74.0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
27,Masculino,Branca,16.5,Não,Pará (PA),Norte,24.0,8.0,16.0,11.0,190.0,Mestrado,Química / Física,Empregado (CLT),Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
26,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Cientista de Dados/Data Scientist,Sênior,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30,Masculino,Parda,17.4,Não,Rio de Janeiro (RJ),Sudeste,92.0,67.0,25.0,23.0,565.0,Pós-graduação,Outras Engenharias,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
26,Feminino,Branca,16.5,Não,Paraná (PR),Sul,12.0,8.0,4.0,2.0,74.0,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial
50,Feminino,Parda,17.4,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Mestrado,Química / Física,Servidor Público,Estatístico,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial
23,Feminino,Branca,16.5,Não,Minas Gerais (MG),Sudeste,92.0,67.0,25.0,23.0,565.0,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,Empregado (CLT),Não informado,Não informado,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
22,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
39,Masculino,Parda,17.4,Não,Goiás (GO),Centro-oeste,12.0,10.0,3.0,3.0,82.0,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Empregado (CLT),Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
34,Feminino,Branca,16.5,Não,Pernambuco (PE),Nordeste,81.0,23.0,57.0,17.0,487.0,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
23,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Prefiro não informar,Não informado,Estagiário,Cientista de Dados/Data Scientist,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29,Masculino,Preta,17.1,Não,Distrito Federal (DF),Centro-oeste,12.0,10.0,3.0,3.0,82.0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Analytics Engineer,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
25,Feminino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Graduação/Bacharelado,Outra opção,Empregado (CLT),Outra Opção,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
26,Feminino,Branca,16.5,Não,Paraná (PR),Sul,12.0,8.0,4.0,2.0,74.0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
27,Masculino,Preta,17.1,Não,Pernambuco (PE),Nordeste,81.0,23.0,57.0,17.0,487.0,Graduação/Bacharelado,Outras Engenharias,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 20.001/mês a R$ 25.000/mês,de 5 a 6 anos,Modelo 100% remoto,Modelo 100% remoto
27,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Cientista de Dados/Data Scientist,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
24,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de BI/BI Analyst,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
22,Masculino,Branca,16.5,Não,Minas Gerais (MG),Sudeste,92.0,67.0,25.0,23.0,565.0,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo 100% remoto
29,Masculino,Preta,17.1,Não,Espírito Santo (ES),Sudeste,92.0,67.0,25.0,23.0,565.0,Mestrado,Outras Engenharias,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo 100% remoto
32,Masculino,Branca,16.5,Não,Rio Grande do Sul (RS),Sul,12.0,8.0,4.0,2.0,74.0,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Cientista de Dados/Data Scientist,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Modelo 100% remoto,Modelo 100% remoto
38,Feminino,Branca,16.5,Não,Espírito Santo (ES),Sudeste,92.0,67.0,25.0,23.0,565.0,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Outra Opção,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo 100% remoto
27,Masculino,Branca,16.5,Não,Paraná (PR),Sul,12.0,8.0,4.0,2.0,74.0,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Cientista de Dados/Data Scientist,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto
27,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Não informado,Não informado,de R$ 16.001/mês a R$ 20.000/mês,de 4 a 6 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto
27,Feminino,Branca,16.5,Não,Rio Grande do Sul (RS),Sul,12.0,8.0,4.0,2.0,74.0,Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Economista,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo 100% remoto
29,Masculino,Branca,16.5,Não,Paraná (PR),Sul,12.0,8.0,4.0,2.0,74.0,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
23,Masculino,Preta,17.1,Não,Rio Grande do Sul (RS),Sul,12.0,8.0,4.0,2.0,74.0,Estudante de Graduação,Outras Engenharias,Empregado (CLT),Analista de Dados/Data Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
26,Masculino,Branca,16.5,Não,Mato Grosso (MT),Centro-oeste,12.0,10.0,3.0,3.0,82.0,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% presencial,Modelo 100% remoto
33,Masculino,Amarela,17.0,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Pós-graduação,Outras Engenharias,Empregado (CLT),Analista de Dados/Data Analyst,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
24,Masculino,Branca,16.5,Não,Rio de Janeiro (RJ),Sudeste,92.0,67.0,25.0,23.0,565.0,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Modelo 100% remoto,Modelo 100% remoto
26,Feminino,Branca,16.5,Não,Rio de Janeiro (RJ),Sudeste,92.0,67.0,25.0,23.0,565.0,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Analista de Negócios/Business Analyst,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Modelo híbrido com dias fixos de trabalho presencial,Modelo 100% remoto
28,Masculino,Branca,16.5,Não,São Paulo (SP),Sudeste,92.0,67.0,25.0,23.0,565.0,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 4 a 6 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
37,Feminino,Branca,16.5,Não,Rio Grande do Sul (RS),Sul,12.0,8.0,4.0,2.0,74.0,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
33,Masculino,Branca,16.5,Não,Paraná (PR),Sul,12.0,8.0,4.0,2.0,74.0,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empreendedor ou Empregado (CNPJ),Analista de BI/BI Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 6 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30,Masculino,Branca,16.5,Não,Rio Grande do Sul (RS),Sul,12.0,8.0,4.0,2.0,74.0,Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Não informado,Não informado,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Modelo 100% remoto,Modelo 100% remoto
